Gene ID,Gene Description,Gene Accession Number
3099,Ca2+-dependent activator protein for secretion mRNA,U36448_at
3100,Lymphoid-specific SP100 homolog (LYSP100-A) mRNA,U36500_at
3101,SP100 Nuclear antigen Sp100,U36501_at
3102,Heparan N-deacetylase/N-sulfotransferase-2 mRNA,U36601_at
3103,Y-chromosome RNA recognition motif protein (YRRM) gene,U36621_cds2_at
3104,EIF3 Eukaryotic translation initiation factor 3 (eIF-3) p36 subunit,U36764_at
3105,Putative holocytochrome c-type synthetase mRNA,U36787_at
3106,CGMP-inhibited cAMP phosphodiesterase mRNA,U36798_at
3107,GB DEF = Fork head domain protein (FKHR) mRNA; 3' end,U36922_at
3108,Cleavage and polyadenylation specificity factor mRNA,U37012_at
3109,Cyclin-dependent kinase 4 (CDK4) gene,U37022_rna1_at
3110,ADD3 Adducin 3 (gamma),U37122_at
3111,Beta 3-endonexin mRNA; long form and short form,U37139_at
3112,CYP2J2 Cytochrome P450; subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2,U37143_at
3113,Cyclophilin-like protein CyP-60 mRNA,U37219_at
3114,Cyclophilin-like protein mRNA; partial cds,U37221_at
3115,Alpha-mannosidase (6A8) mRNA,U37248_at
3116,ZNF177 KRAB zinc finger protein {alternative products},U37251_at
3117,Microfibril-associated glycoprotein-2 MAGP-2 mRNA,U37283_at
3118,PPP2R4 Protein phosphatase 2A; regulatory subunit B' alpha-1,U37352_at
3119,MRE11 Homolog of yeast MRE11,U37359_at
3120,CtBP mRNA,U37408_at
3121,HOXA1 Homeo box A1,U37431_at
3122,TNF-related apoptosis inducing ligand TRAIL mRNA,U37518_at
3123,ALDH8 Aldehyde dehydrogenase 8,U37519_at
3124,TAC2 Tachykinin 2 (substance K; neurokinin A; neurokinin 2; neuromedin L; neurokinin alpha; neuropeptide K; neuropeptide gamma),U37529_at
3125,IAP homolog B (MIHB) mRNA,U37547_at
3126,Neuron-specific vesicle coat protein and cerebellar degeneration antigen (beta-NAP) mRNA,U37673_at
3127,RNA polymerase II subunit (hsRPB8) mRNA,U37689_at
3128,RNA polymerase II subunit (hsRPB10) mRNA,U37690_at
3129,DLG3 Homolog 3 of Drosophila large discs,U37707_at
3130,HuR RNA binding protein (HuR) mRNA,U38175_at
3131,GB DEF = Cytochrome b pseudogene; partial cds,U38268_at
3132,GB DEF = Huntingtin associated protein (hHAP1) mRNA; partial cds,U38372_at
3133,Retinoid X receptor-gamma mRNA,U38480_at
3134,ARF-activated phosphatidylcholine-specific phospholipase D1a (hPLD1) mRNA,U38545_at
3135,Mab-21 cell fate-determining protein homolog (CAGR1) mRNA,U38810_at
3136,Stimulator of TAR RNA binding (SRB) mRNA,U38846_at
3137,TAR RNA loop binding protein (TRP-185) mRNA,U38847_at
3138,Zinc-finger protein C2H2-150 mRNA,U38864_at
3139,Zinc finger protein C2H2-171 mRNA,U38896_at
3140,Zinc finger protein C2H2-25 mRNA,U38904_at
3141,PMS8 mRNA (yeast mismatch repair gene PMS1 homologue); partial cds (C-terminal region),U38980_at
3142,G protein-activated inwardly rectifying potassium channel HGIRK1/Kir3.1 mRNA,U39196_at
3143,Myosin VIIA (USH1B) mRNA,U39226_at
3144,GIPR Gastric inhibitory polypeptide receptor,U39231_at
3145,E2 ubiquitin conjugating enzyme UbcH5B (UBCH5B) mRNA,U39317_at
3146,AF-4 mRNA,U39318_at
3147,NOF1 mRNA,U39400_at
3148,Platelet alpha SNAP mRNA,U39412_at
3149,Placenta copper monamine oxidase mRNA,U39447_at
3150,XDH Xanthine dehydrogenase,U39487_at
3151,Salivary peroxidase mRNA,U39573_at
3152,BTN Butyrophilin,U39576_at
3153,MAP kinase kinase 6 (MKK6) mRNA,U39657_at
3154,BLM Bloom syndrome,U39817_at
3155,Hepatocyte nuclear factor-3 alpha (HNF-3 alpha) mRNA,U39840_at
3156,SLC18A1 Solute carrier family 18 (vesicular monoamine); member 1,U39905_at
3157,GNAQ Guanine nucleotide binding protein (G protein); q polypeptide,U40038_at
3158,SYN2 Synapsin IIb,U40215_at
3159,GB DEF = Uridine nucleotide receptor (UNR) gene,U40223_at
3160,Integrin-linked kinase (ILK) mRNA,U40282_at
3161,CDK inhibitor p19INK4d mRNA,U40343_at
3162,Spermidine/spermine N1-acetyltransferase (SSAT) gene,U40369_rna1_at
3163,3';5' cyclic nucleotide phosphodiesterase (HSPDE1A3A) mRNA,U40370_at
3164,3';5' cyclic nucleotide phosphodiesterase (HSPDE1C1A) mRNA,U40371_at
3165,3';5' cyclic nucleotide phosphodiesterase (HSPDE1C3A) mRNA; partial cds,U40372_at
3166,PSEN1 Presenilin 1 (Alzheimer disease 3),U40380_at
3167,Serotonin N-acetyltransferase gene,U40391_rna1_at
3168,Pre-pro-megakaryocyte potentiating factor,U40434_at
3169,Ikaros/LyF-1 homolog (hIk-1) mRNA,U40462_at
3170,NAD(P) transhydrogenase,U40490_at
3171,Beta2-syntrophin (SNT B2) mRNA,U40572_at
3172,XRCC4 DNA repair protein XRCC4,U40622_at
3173,GB DEF = Tyrosyl-tRNA synthetase mRNA,U40714_at
3174,Putative voltage-gated potassium channel (KVLQT1) mRNA; partial cds,U40990_at
3175,Heat shock protein hsp40 homolog mRNA,U40992_at
3176,Retinal protein (HRG4) mRNA,U40998_at
3177,Breast cancer; estrogen regulated LIV-1 protein (LIV-1) mRNA; partial cds,U41060_at
3178,PRELP Proline arginine-rich end leucine-rich repeat protein,U41344_at
3179,Spliceosome associated protein (SAP 145) mRNA,U41371_at
3180,Gu protein mRNA; partial cds,U41387_at
3181,Deleted in split hand/split foot 1 (DSS1) mRNA,U41515_at
3182,OS-9 precurosor mRNA,U41635_at
3183,DGUOK Deoxyguanosine kinase,U41668_at
3184,GB DEF = Pancreatic beta cell growth factor (INGAP) mRNA,U41737_at
3185,PDGF associated protein mRNA,U41745_at
3186,CLTC Clathrin heavy chain {alternative products},U41763_at
3187,Putative T1/ST2 receptor binding protein precursor mRNA,U41804_at
3188,HOXA9 Homeo box A9,U41813_at
3189,Nucleoporin 98 (NUP98) mRNA,U41815_at
3190,C-1 mRNA,U41816_at
3191,GB DEF = Sodium cotransporter RKST1 mRNA; partial cds,U41898_at
3192,54 kDa progesterone receptor-associated immunophilin FKBP54 mRNA; partial cds,U42031_at
3193,GB DEF = N33 protein form 1 (N33) gene; exon 10 and complete cds,U42359_at
3194,N33 gene,U42360_cds2_at
3195,Pancreatic polypeptide receptor mRNA,U42387_at
3196,Trio mRNA,U42390_at
3197,Ladinin (LAD) mRNA,U42408_at
3198,5'-AMP-activated protein kinase; gamma-1 subunit mRNA,U42412_at
3199,Cardiotrophin-1 (CTF1) mRNA,U43030_at
3200,CDC37 homolog mRNA,U43077_at
3201,GNAQ Guanine nucleotide binding protein (G protein); q polypeptide,U43083_at
3202,Vascular endothelial growth factor related protein VRP mRNA,U43142_at
3203,PTCH Patched (Drosophila) homolog,U43148_at
3204,GB DEF = Urocortin gene,U43177_at
3205,GB DEF = Nucleoporin nup 36 mRNA,U43279_at
3206,Selenophosphate synthetase 2 (SPS2) mRNA,U43286_at
3207,MDS1B (MDS1) mRNA,U43292_at
3208,Putative transmembrane receptor (frizzled 5) mRNA,U43318_at
3209,CRTL1 Cartilage linking protein 1,U43328_at
3210,Normal keratinocyte mRNA,U43374_at
3211,Tyrosine kinase (Tnk1) mRNA,U43408_at
3212,DNA topoisomerase III mRNA,U43431_at
3213,DRP2 Dystrophin related protein 2,U43519_at
3214,Protein tyrosine kinase PYK2 mRNA,U43522_at
3215,Malignant melanoma metastasis-suppressor (KiSS-1) gene; mRNA,U43527_at
3216,Kinase suppressor of ras-1 (KSR1) mRNA; partial cds,U43586_at
3217,Putative transmembrane receptor IL-1Rrp mRNA,U43672_at
3218,Frataxin (FRDA) gene; promoter region and,U43753_cds2_at
3219,H-neuro-d4 protein mRNA,U43843_at
3220,Grb2-associated binder-1 mRNA,U43885_at
3221,Signal transducing adaptor molecule STAM mRNA,U43899_at
3222,Transcription factor SUPT4H mRNA,U43923_at
3223,ADD2 Adducin 2 (beta) {alternative products},U43959_at
3224,ANK3 Ankyrin 3; node of Ranvier (ankyrin G),U43965_at
3225,GB DEF = Thyrotroph embryonic factor (TEF) mRNA,U44059_at
3226,Homeodomain protein (Prox 1) mRNA,U44060_at
3227,Histamine N-methyltransferase,U44111_at
3228,Homozygous deletion target in pancreatic carcinoma (DPC4) mRNA,U44378_at
3229,D53 (hD53) mRNA,U44429_at
3230,PSE-binding factor PTF gamma subunit mRNA,U44754_at
3231,PSE-binding factor PTF delta subunit mRNA,U44755_at
3232,Palmitoyl protein thioesterase mRNA,U44772_at
3233,Putative ubiquitin C-terminal hydrolase (UHX1) mRNA,U44839_at
3234,GB DEF = Nuclear respiratory factor 1 (NRF-1) mRNA; 3' UTR,U44848_at
3235,DNA-binding protein CPBP (CPBP) mRNA; partial cds,U44975_at
3236,Specific 116-kDa vacuolar proton pump subunit (OC-116KDa) mRNA,U45285_at
3237,X-linked inhibitor of apotosis protein XIAP mRNA,U45880_at
3238,Neuronal membrane glycoprotein M6b mRNA; partial cds,U45955_at
3239,Phosphatidylinositol (4;5)bisphosphate 5-phosphatase homolog mRNA; partial cds,U45973_at
3240,Phosphatidylinositol (4;5) bisphosphate 5-phosphatase homolog mRNA; partial cds,U45974_at
3241,Phosphatidylinositol (4;5)bisphosphate 5-phosphatase homolog mRNA; partial cds,U45975_at
3242,Clathrin assembly protein lymphoid myeloid leukemia (CALM) mRNA,U45976_at
3243,GB DEF = G protein-coupled receptor GPR-9-6 gene,U45982_at
3244,GB DEF = CCR8 chemokine receptor (CMKBR8) gene,U45983_at
3245,Xq28 mRNA,U46023_at
3246,MTM1 Myotubular myopathy 1,U46024_at
3247,Chromosome 16p11.2 BAC Clone CIT987SK-234F9 complete sequence,U46025_at
3248,PTPRG Protein tyrosine phosphatase; receptor type; gamma polypeptide,U46116_at
3249,Renal cell carcinoma antigen RAGE-4 mRNA; complete putative cds,U46194_at
3250,GB DEF = Dishevelled homolog (DVL) mRNA,U46461_at
3251,GLUTATHIONE S-TRANSFERASE; MICROSOMAL,U46499_at
3252,Aquaporin-5 (AQP5) gene,U46569_at
3253,Tetratricopeptide repeat protein (tpr1) mRNA,U46570_at
3254,Tetratricopeptide repeat protein (tpr2) mRNA,U46571_at
3255,Microsomal aldehyde dehydrogenase (ALD10) mRNA,U46689_at
3256,Cystatin B gene,U46692_rna1_at
3257,Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,U46751_at
3258,Phosphotyrosine independent ligand p62B B-cell isoform for the Lck SH2 domain mRNA; partial cds,U46752_at
3259,Monocyte chemoattractant protein-4 precursor (MCP-4) mRNA,U46767_at
3260,SNCA Synuclein; alpha (non A4 component of amyloid precursor),U46901_at
3261,Transcriptional repressor (NAB1) NAB1 mRNA,U47007_at
3262,FGF8 gene (fibroblast growth factor 8 precursor) extracted from Human fibroblast growth factor 8 (FGF8) gene,U47011_cds1_at
3263,Putative calcium influx channel (htrp3) mRNA,U47050_at
3264,Putative mono-ADP-ribosyltransferase (htMART) mRNA,U47054_at
3265,NifU-like protein (hNifU) mRNA; partial cds,U47101_at
3266,H105e3 mRNA,U47105_at
3267,GB DEF = Gamma aminobutyric acid receptor beta4 subunit-like mRNA; partial cds,U47334_at
3268,Cyclin G2 mRNA,U47414_at
3269,Nucleolar autoantigen No55 mRNA,U47621_at
3270,TUBB Beta-tubulin,U47634_at
3271,D13S824E locus mRNA,U47635_at
3272,Monocytic leukaemia zinc finger protein (MOZ) mRNA,U47742_at
3273,Unknown protein B mRNA,U47926_at
3274,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE T,U47927_at
3275,Protein A alternatively spliced form 2 (A-2) mRNA,U47928_at
3276,GB DEF = G-protein beta-3 subunit alternatively spliced form mRNA sequence,U47931_at
3277,DBP Albumin D-box binding protein,U48213_at
3278,Bradykinin receptor B1 subtype mRNA,U48231_at
3279,Protein kinase C-binding protein RACK17 mRNA; partial cds,U48250_at
3280,Protein kinase C-binding protein RACK7 mRNA; partial cds,U48251_at
3281,Pre-pro-orphanin FQ (OFQ) mRNA,U48263_at
3282,Protein tyrosine phosphatase PTPCAAX1 (hPTPCAAX1) mRNA,U48296_at
3283,GB DEF = G protein coupled receptor OGR1 gene,U48405_at
3284,Kidney water channel (hKID) mRNA,U48408_at
3285,Amyloid precursor-like protein 1 mRNA,U48437_at
3286,GB DEF = Mariner-like element-containing mRNA; clone pcHMT2,U48697_at
3287,Protein phosphatase-1 inhibitor mRNA,U48707_at
3288,Serine/threonine-protein kinase PRP4h (PRP4h) mRNA,U48736_at
3289,Dual specific protein phosphatase mRNA,U48807_at
3290,CHRNB4 Cholinergic receptor; nicotinic; beta polypeptide 4,U48861_at
3291,GB DEF = Amiloride-sensitive epithelial sodium channel gamma subunit mRNA; 5' end; partial cds,U48936_at
3292,Myosin light chain kinase (MLCK) mRNA,U48959_at
3293,Interleukin-1 receptor-related protein mRNA,U49065_at
3294,Peptidyl-prolyl isomerase and essential mitotic regulator (PIN1) mRNA,U49070_at
3295,Transporter protein (g17) mRNA,U49082_at
3296,Neuroendocrine-dlg (NE-dlg) mRNA,U49089_at
3297,Prohormone convertase 5 precursor (PC5) mRNA; partial cds,U49114_at
3298,Placenta (Diff48) mRNA,U49187_at
3299,Placenta (Diff33) mRNA,U49188_at
3300,Canalicular multispecific organic anion transporter (cMOAT); gene,U49248_at
3301,Putative cerebral cortex transcriptional regulator T-Brain-1 (Tbr-1) mRNA,U49250_at
3302,Mevalonate pyrophosphate decarboxylase (MPD) mRNA,U49260_at
3303,Putative DNA-binding protein mRNA; partial cds,U49278_at
3304,Liver 2;4-dienoyl-CoA reductase mRNA,U49352_at
3305,Diacylglycerol kinase epsilon DGK mRNA,U49379_at
3306,Ionotropic ATP receptor P2X5a mRNA,U49395_at
3307,EIF5 Eukaryotic translation initiation factor 5 (eIF5),U49436_at
3308,Rhodopsin gene,U49742_at
3309,DCT Dopachrome tautomerase (dopachrome delta-isomerase; tyrosine-related protein 2),U49785_at
3310,LIM protein MLP mRNA,U49837_at
3311,Protein kinase ATR mRNA,U49844_at
3312,Transcriptional activator mRNA,U49857_at
3313,Ubiquitin gene,U49869_rna1_at
3314,TAK1 binding protein 1 (TAB1) mRNA,U49928_at
3315,ORF1; MER37; putative transposase similar to pogo element from  Human Tigger1 transposable element; complete consensus sequence./ntype=DNA /annot=CDS,U49973_xpt1_at
3316,ORF2: function unknown from  Human Tigger1 transposable element; complete consensus sequence./ntype=DNA /annot=CDS,U49973_xpt2_at
3317,Cell death protein (RIP) mRNA; partial cds,U50062_at
3318,Guanine nucleotide exchange factor p532 mRNA,U50078_at
3319,Leukotriene C4 synthase (LTC4S) gene,U50136_rna1_at
3320,Neuropeptide y2 receptor mRNA,U50146_at
3321,EZH1 Enhancer of zeste (Drosophila) homolog 1,U50315_at
3322,BMP1 Bone morphogenetic protein 1,U50330_at
3323,Retinoic acid-responsive protein (NN8-4AG) mRNA,U50383_at
3324,BRCA2 region; mRNA sequence CG037,U50523_at
3325,BRCA2 region; mRNA sequence CG030,U50531_at
3326,BRCA2 region; mRNA sequence CG003,U50534_at
3327,BRCA2 region; mRNA sequence CG005,U50535_at
3328,Helicase like protein 2 mRNA,U50553_at
3329,BCKDHB Branched chain keto acid dehydrogenase E1; beta polypeptide (maple syrup urine disease),U50708_at
3330,Dynamitin mRNA,U50733_at
3331,Na;K-ATPase gamma subunit mRNA,U50743_at
3332,G16 protein (g16) mRNA; partial cds,U50839_at
3333,PKD2 Autosomal dominant polycystic kidney disease type II,U50928_at
3334,Betaine:homocysteine methyltransferase mRNA,U50929_at
3335,Amyloid precursor protein-binding protein 1 mRNA,U50939_at
3336,Infant brain unknown product mRNA,U50950_at
3337,Putative protein kinase C inhibitor (PKCI-1) mRNA,U51004_at
3338,CDX1 Caudal type homeo box transcription factor 1,U51095_at
3339,Homeobox protein Cdx2 mRNA,U51096_at
3340,IRF5 Interferon regulatory factor 5,U51127_at
3341,G/T mismatch-specific thymine DNA glycosylase mRNA,U51166_at
3342,COP9 homolog (HCOP9) mRNA,U51205_at
3343,KIAA0085 gene; partial cds,U51240_at
3344,CMKBR3 Chemokine (C-C) receptor 3,U51241_at
3345,Armadillo repeat protein mRNA,U51269_at
3346,Putative RNA binding protein (RBP56) mRNA,U51334_at
3347,Inositol 1;3;4-trisphosphate 5/6-kinase mRNA,U51336_at
3348,Nuclear protein Skip mRNA,U51432_at
3349,Diacylglycerol kinase zeta mRNA,U51477_at
3350,Sodium/potassium-transporting ATPase beta-3 subunit mRNA,U51478_at
3351,Cosmid N79E2,U51561_at
3352,Siah binding protein 1 (SiahBP1) mRNA; partial cds,U51586_at
3353,Golgi complex autoantigen golgin-97 mRNA,U51587_at
3354,Small acidic protein mRNA,U51678_at
3355,DESMOCOLLIN 2A/BB PRECURSOR,U51711_at
3356,RasGAP-related protein (IQGAP2) mRNA,U51903_at
3357,SRP54 Signal recognition particle 54 kD protein,U51920_at
3358,HPrp18 mRNA,U51990_at
3359,XMP mRNA,U52100_at
3360,YMP mRNA,U52101_at
3361,ALD gene (adrenoleukodystrophy protein) extracted from Human Xq28 genomic DNA in the region of the ALD locus containing the genes for creatine transporter (SLC6A8); CDM; adrenoleukodystrophy (ALD); Na+-isocitrate dehydrogenase gamma subunit (IDH); and translocon-associated protein delta (TRAP) genes; plexin related protein (PLEXR) and serine kinase (SK) genes; partial cds; Xq28lu1 gene and cytochrome C (CCp) pseudogene,U52111_rna3_at
3362,PLEXR gene (plexin related protein) extracted from Human Xq28 genomic DNA in the region of the ALD locus containing the genes for creatine transporter (SLC6A8); CDM; adrenoleukodystrophy (ALD); Na+-isocitrate dehydrogenase gamma subunit (IDH); and translocon-associated protein delta (TRAP) genes; plexin related protein (PLEXR) and serine kinase (SK) genes; partial cds; Xq28lu1 gene and cytochrome C (CCp) pseudogene,U52111_rna4_at
3363,L1CAM gene (neural cell adhesion molecule L1) extracted from Human Xq28 genomic DNA in the region of the L1CAM locus containing the genes for neural cell adhesion molecule L1 (L1CAM); arginine-vasopressin receptor (AVPR2); C1 p115 (C1); ARD1 N-acetyltransferase related protein (TE2); renin-binding protein (RbP); host cell factor 1 (HCF1); and interleukin-1 receptor-associated kinase (IRAK) genes; and Xq28lu2 gene,U52112_rna1_at
3364,RbP gene (renin-binding protein) extracted from Human Xq28 genomic DNA in the region of the L1CAM locus containing the genes for neural cell adhesion molecule L1 (L1CAM); arginine-vasopressin receptor (AVPR2); C1 p115 (C1); ARD1 N-acetyltransferase related protein (TE2); renin-binding protein (RbP); host cell factor 1 (HCF1); and interleukin-1 receptor-associated kinase (IRAK) genes; and Xq28lu2 gene,U52112_rna5_at
3365,Inwardly rectifying potassium channel Kir3.3 mRNA,U52152_at
3366,Inwardly rectifying potassium channel Kir3.2 mRNA,U52153_at
3367,Clone KGP G-protein coupled inwardly rectifying potassium channel mRNA,U52154_at
3368,Inward rectifier potassium channel Kir1.2 (Kir1.2) mRNA; partial cds,U52155_at
3369,GOK (STIM1) mRNA,U52426_at
3370,RNA polymerase II seventh subunit (rpb-7) gene,U52427_rna1_at
3371,RIG-G mRNA,U52513_at
3372,Grb2-related adaptor protein (Grap) mRNA,U52518_at
3373,GB DEF = Arfaptin 1; putative target protein of ADP-ribosylation factor; mRNA,U52521_at
3374,Arfaptin 2; putative target protein of ADP-ribosylation factor; mRNA,U52522_at
3375,IRF4 Interferon regulatory factor 4,U52682_at
3376,GB DEF = Tenascin-X (XB) mRNA; RACE clone N1; partial cds,U52700_at
3377,Cri-du-chat region mRNA; clone NIBB11,U52827_at
3378,GB DEF = Cri-du-chat region mRNA; clone CSC8,U52830_at
3379,Cri-du-chat region mRNA; clone CSA1,U52840_at
3380,RNA polymerase II holoenzyme component SRB7 (SRB7) mRNA,U52960_at
3381,BRAIN SPECIFIC POLYPEPTIDE PEP-19,U52969_at
3382,KNP-Ia,U53003_at
3383,PPP1CA Protein phosphatase 1; catalytic subunit; alpha isoform,U53174_at
3384,Transformer-2 alpha (htra-2 alpha) mRNA,U53209_at
3385,SNX1 Sorting nexin 1,U53225_at
3386,Neutral amino acid transporter B mRNA,U53347_at
3387,P38Beta MAP kinase mRNA,U53442_at
3388,Ovarian cancer downregulated myosin heavy chain homolog (Doc1) mRNA,U53445_at
3389,Mitogen-responsive phosphoprotein (DOC-2) mRNA,U53446_at
3390,NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA,U53468_at
3391,Proto-oncogene Wnt7a mRNA,U53476_at
3392,Type II iodothyronine deiodinase mRNA,U53506_at
3393,EVPL Envoplakin,U53786_at
3394,Interferon regulatory factor 7 (humirf7) mRNA,U53830_at
3395,PDK4 Pyruvate dehydrogenase kinase; isoenzyme 4,U54617_at
3396,14-3-3 epsilon mRNA,U54778_at
3397,Has2 mRNA,U54804_at
3398,LGN protein mRNA,U54999_at
3399,K-Cl cotransporter (hKCC1) mRNA,U55054_at
3400,Gamma-glutamyl hydrolase (hGH) mRNA,U55206_at
3401,Myosin VIIa transcript 2 mRNA,U55209_at
3402,GB DEF = HBRAVO/Nr-CAM precursor (hBRAVO/Nr-CAM) gene,U55258_at
3403,Estrogen sulfotransferase mRNA; partial cds,U55764_at
3404,Rev interacting protein Rip-1 mRNA,U55766_at
3405,130 kD Golgi-localized phosphoprotein (GPP130) mRNA,U55853_at
3406,GB DEF = SNAP-23 mRNA,U55936_at
3407,PWP2H protein mRNA,U56085_at
3408,Adhesion molecule DNAM-1 mRNA,U56102_at
3409,HIG-1 mRNA,U56244_at
3410,Lysophosphatidic acid acyltransferase-alpha mRNA,U56417_at
3411,Lysophosphatidic acid acyltransferase-beta mRNA,U56418_at
3412,Capping protein alpha subunit isoform 1 mRNA,U56637_at
3413,DNase1-Like III protein (DNAS1L3) mRNA,U56814_at
3414,Kinase Myt1 (Myt1) mRNA,U56816_at
3415,VHL binding protein-1 (VBP-1) mRNA; partial cds,U56833_at
3416,Calmodulin dependent phosphodiesterase PDE1B1 mRNA,U56976_at
3417,Putative serine/threonine protein kinase PRK (prk) mRNA,U56998_at
3418,WD protein IR10 mRNA,U57057_at
3419,Small GTP-binding protein rab30,U57092_at
3420,Small GTP-binding protein rab27b mRNA,U57093_at
3421,Small GTP-binding protein mRNA,U57094_at
3422,APEG-1 mRNA,U57099_at
3423,GCN5 (hGCN5) gene,U57316_at
3424,P300/CBP-associated factor (P/CAF) mRNA,U57317_at
3425,Myelodysplasia/myeloid leukemia factor 2 (MLF2) mRNA,U57342_at
3426,Sodium channel 1 (hBNaC1) mRNA,U57352_at
3427,PEDF Pigment epithelium-derived factor,U57450_at
3428,GB DEF = SNF1-like protein kinase mRNA; partial cds,U57452_at
3429,GB DEF = Jumonji putative protein (jumonji) mRNA,U57592_at
3430,Retinitis pigmentosa GTPase regulator (RPGR) mRNA,U57629_at
3431,Signaling inositol polyphosphate 5 phosphatase SIP-110 mRNA,U57650_at
3432,L-kynurenine hydrolase mRNA,U57721_at
3433,Zinc finger protein (LD5-1) mRNA,U57796_at
3434,Integral membrane protein CII-3 mRNA; nuclear gene encoding mitochondrial protein,U57877_at
3435,Fetal brain (239FB) mRNA; from the WAGR region,U57911_at
3436,GB DEF = Myotubularin related protein 1 (MTMR1) gene; partial cds,U58032_at
3437,GB DEF = Myotubularin related protein 2 (MTMR2) gene; partial cds,U58033_at
3438,GB DEF = Myotubularin related protein 3 (MTMR3) gene; partial cds,U58034_at
3439,PRSM1 Metallopeptidase 1 (33 kD),U58048_at
3440,Hs-cul-1 mRNA,U58087_at
3441,Hs-cul-3 mRNA; partial cds,U58089_at
3442,Hs-cul-4A mRNA; partial cds,U58090_at
3443,GB DEF = Hs-cul-4B mRNA; partial cds,U58091_at
3444,TSPY Testis specific protein; Y-linked,U58096_at
3445,GB DEF = Bumetanide-sensitive Na-K-2Cl cotransporter (NKCC2) mRNA,U58130_at
3446,Placental delta sarcoglycan mRNA,U58331_at
3447,Bcl2; p53 binding protein Bbp/53BP2 (BBP/53BP2) mRNA,U58334_at
3448,Huntingtin interacting protein (HIP2) mRNA,U58522_at
3449,Unknown protein mRNA within the p53 intron 1,U58658_at
3450,GB DEF = Neurogenic basic-helix-loop-helix protein (NeuroD2) gene,U58681_at
3451,RPS28 Ribosomal protein S28,U58682_at
3452,FX protein mRNA,U58766_at
3453,Putative outer mitochondrial membrane 34 kDa translocase hTOM34 mRNA,U58970_at
3454,CRYBA4 Beta-A4 crystallin,U59057_at
3455,Dermatan sulfate proteoglycan 3 (DSPG3) mRNA,U59111_at
3456,EDA Ectodermal dysplasia protein,U59228_at
3457,Beta-R1 mRNA; partial cds,U59286_at
3458,H-cadherin mRNA,U59289_at
3459,Steroid receptor coactivator (SRC-1) mRNA,U59302_at
3460,FH Fumarate hydratase,U59309_at
3461,DEAD-box protein p72 (P72) mRNA,U59321_at
3462,Cadherin-14 mRNA,U59325_at
3463,Mad-related protein MADR1 mRNA,U59423_at
3464,Transcription factor (NFATc.b) mRNA,U59736_at
3465,GB DEF = Desert hedgehog (hDHH) mRNA; partial cds,U59748_at
3466,Sec7p-like protein mRNA; partial cds,U59752_at
3467,TRAF-interacting protein I-TRAF mRNA,U59863_at
3468,Low-Mr GTP-binding protein (RAB32) mRNA; partial cds,U59878_at
3469,SMAD5 (Smad5) mRNA,U59913_at
3470,Chromosome 15 Mad homolog Smad6 mRNA,U59914_at
3471,Smg GDS-associated protein SMAP mRNA,U59919_at
3472,FEZ1 mRNA,U60060_at
3473,FEZ1-T mRNA; alternatively spliced form,U60062_at
3474,Skeletal muscle LIM-protein SLIM1 mRNA,U60115_at
3475,Skeletal muscle LIM-protein SLIM2 mRNA; partial cds,U60116_at
3476,Methyl sterol oxidase (ERG25) mRNA,U60205_at
3477,Putative polymerase; orf similar to the integrase domain of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes; partial cds; and 3'LTR,U60269_cds1_at
3478,Putative envelope protein; orf similar to env of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes; partial cds; and 3'LTR,U60269_cds2_at
3479,Putative envelope protein; orf similar to env of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes; partial cds; and 3'LTR,U60269_cds3_at
3480,HASNA-I mRNA,U60276_at
3481,HLA-H MHC protein HLA-H (hereditary haemochromatosis),U60319_at
3482,POLG DNA polymerase gamma,U60325_at
3483,BHLH-PAS protein JAP3 mRNA,U60415_at
3484,Apoptotic cysteine protease Mch4 (Mch4) mRNA,U60519_at
3485,Cysteine protease ICE-LAP6 mRNA,U60521_at
3486,HU-K4 mRNA,U60644_at
3487,Testis specific basic protein (TSBP),U60665_at
3488,Testis specific leucine rich repeat protein (TSLRP),U60666_at
3489,Semaphorin (CD100) mRNA,U60800_at
3490,Oncostatin-M specific receptor beta subunit (OSMRB) mRNA,U60805_at
3491,Clone 137308 mRNA; partial cds,U60873_at
3492,Hybrid receptor gp250 precursor mRNA,U60975_at
3493,Enhancer of zeste homolog 2 (EZH2) mRNA,U61145_at
3494,SH3 domain-containing protein SH3P17 mRNA,U61166_at
3495,SH3 domain-containing protein SH3P18 mRNA,U61167_at
3496,Tubulin-folding cofactor E mRNA,U61232_at
3497,Tubulin-folding cofactor C mRNA,U61234_at
3498,NEO1 Neogenin (chicken) homolog 1,U61262_at
3499,Acetolactate synthase homolog mRNA,U61263_at
3500,Sushi-repeat-containing protein precursor (SRPX) mRNA,U61374_at
3501,Calcium-binding protein chp mRNA,U61538_at
